index,lyrics_features,moods
1,late ve ve lose sleep dream thing babi ve ve pray hard said count dollar ll count star yeah ll count star life like swing vine swing heart line face flash sign seek shall old m old young m bold don t think world sold m just do told feel right do wrong thing feel wrong do right thing couldn t lie couldn t lie couldn t lie kill make feel aliv late ve ve lose sleep dream thing babi ve ve pray hard said count dollar ll count star late ve ve lose sleep dream thing babi ve ve pray hard said count dollar ll ll count star feel love feel burn river turn hope letter word make money watch burn old m old young m bold don t think world sold m just do told feel wrong do right thing couldn t lie couldn t lie couldn t lie drown make wanna fli late ve ve lose sleep dream thing babi ve ve pray hard said count dollar ll count star late ve ve lose sleep dream thing babi ve ve pray hard said count dollar ll ll count star money watch burn sink river lesson learnt money watch burn sink river lesson learnt money watch burn sink river lesson learnt money watch burn sink river lesson learnt kill make feel aliv late ve ve lose sleep dream thing babi ve ve pray hard said count dollar ll count star late ve ve lose sleep dream thing babi ve ve pray hard said count dollar ll ll count star money watch burn sink river lesson learnt money watch burn sink river lesson learnt money watch burn sink river lesson learnt money watch burn sink river lesson learnt,happy
2,parti rock yeah woo let s parti rock hous tonight everybodi just good time gon make loos mind wooo everybodi just good time parti rock hous tonight ooww everybodi just good time gon make loos mind yeah just wanna shake club parti rock look pretti girl jock huh non stop spot booti way like block wooo drink got know tight jean tattoo caus m rock n roll half black half white domino gain money door yoo m runnin hoe like drano got devilish flow rock n roll halo parti rock yeah s crew m reppin rise stop led zeppelin heeeey parti rock hous tonight wooo everybodi just good time hey gon make loos mind everybodi just good time let s parti rock hous tonight everybodi just good time gon make loos mind just wanna shake everyday m shuffl shuffl shuffl step fast girl make throw cash gettin money don t mad stop hate bad shot round round cup don t mess bitch wanna shake wanna nake hand sound hand sound hand sound hand sound hand sound hand sound sound hand hand hand hand parti rock hous tonight hand everybodi just good time hand gon make loos mind hand everybodi just good good good time ooohh ooooh hand ooohh ooooh ooh ooh ooohh ooooh hand ooohh ooooh hand shake everyday m shu ff ffling yeaah wooo hand hand hand everyday m shuffl,happy
3,alagamun lan weh wakun heya hanun gon alagamun lan weh makun heya hanun gon alagamun lan ari gari hanon kari alagamun lan like like parti hey ichiba varriya hara moru mashi sondori yama varriya yougun pegi tur equa machen varriya noga onku pega haga kung nand varriya damn girl freakin sexi m m m mother father gentleman m m m mother father gentleman m m m mother father gentleman alagamun lan weh mikuneya hana gon alagamun lan weh sikuneya hana gon alagamun lan pali pali wasa nelli neh alagamun lan nali nali nasa pali hee ichiba varaniya nori moli holi daddi chunga ri varriya feel feel good brutak varriya gachu gunya sorinag sorinag varriya damn girl mma parti morphin m m m mother father gentleman m m m mother father gentleman m m m mother father gentleman gonna make sweat gonna make wet know west gonna make sweat gonna make wet know west m m m mother father gentleman m m m mother father gentleman m m m mother father gentleman,happy
5,today don t feel like do just wanna lay bed don t feel like pick phone leav messag tone caus today swear m do uh m gonna kick feet stare fan turn t v throw hand pant s gon tell ll loungin couch just chillin snuggi flip mtv teach dougi caus castl m freakin man oh yes said said said caus today don t feel like do just wanna lay bed don t feel like pick phone leav messag tone caus today swear m do ooh hoo ooh hoo hoo ooh ooh ooh hoo ooh hoo hoo ooh ooh tomorrow ll wake p90x meet realli nice girl realli nice sex s gonna scream great mess colleg degre bet old man proud sorri pop ll just wait oh yes said said said caus today don t feel like do just wanna lay bed don t feel like pick phone leav messag tone caus today swear m do ain t gonna comb hair caus ain t goin oh ll just strut birthday suit let hang loos yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah oh today don t feel like do just wanna lay bed don t feel like pick phone leav messag tone caus today swear m do ooh hoo ooh hoo hoo ooh ooh ooh hoo ooh hoo hoo ooh ooh,happy
9,don t know turn head walk o don t need make cover way eno o ough room u babi light world like way flip hair get overwhelm smile ground ain t hard tell don t kno o ow don t know beauti saw ll understand want desper right m look t believ don t kno o ow don t know beautifu u ul s make beauti c come got wrong prove m right o ong don t know shi turn away look e e eye room u babi light world like way flip hair get overwhelm smile ground ain t hard tell don t kno o ow don t know beauti saw ll understand want desper right m look t believ don t kno o ow don t know beautifu u ul s make beauti babi light world like way flip hair get overwhelm smile ground ain t hard tell don t kno o ow don t know beauti babi light world like way flip hair get overwhelm smile ground ain t hard tell don t kno o ow don t know beauti saw ll understand want desper yes right m look t believ don t kno o ow don t know beautifu u ul don t know beautifu u ul s make beauti,happy
12,feel like plastic bag drift wind want start feel feel paper like hous card blow cave feel buri deep feet scream hear thing know s chanc caus s spark just gotta ignit light let shine just night like fourth juli caus babi firework come worth make oh oh oh shoot sky babi firework come let color burst make oh oh oh gonna leav awe don t feel like wast space origin replac knew futur hold hurrican come rainbow mayb reason door close open lead perfect road like lightn bolt heart glow s time know just gotta ignit light let shine just night like fourth juli caus babi firework come worth make oh oh oh shoot sky babi firework come let color burst make oh oh oh gonna leav awe boom boom boom brighter moon moon moon s insid s time let caus babi firework come worth make oh oh oh shoot sky babi firework come let color burst make oh oh oh gonna leav awe boom boom boom brighter moon moon moon boom boom boom brighter moon moon moon,happy
15,ohh ohh ohh ohh ohh oh eye eye make star look like shine hair hair fall perfect tri s beauti tell day yeah know know compliment won t believ s s sad think don t time ask look okay say face s thing chang caus amaz just way smile world stop stare awhil caus girl amaz just way lip lip kiss day d let laugh laugh hate think s sexi s beauti tell day oh know know know d ask chang perfect s search just stay don t bother ask look okay know ll say face s thing chang caus amaz just way smile world stop stare awhil caus girl amaz just way way way girl amaz just way face s thing chang caus amaz just way smile world stop stare awhil caus girl amaz just way yeah,happy
16,s parti want drama s parti say want mike s parti love want kiss want screw want red cup sweati bodi hand air like don t care caus came fun got somebodi readi home hell hell caus gonna night till sunlight alright la da di da di like parti danc miley do want hous rule t stop won t stop t s night t s bout life t stop won t stop run thing thing don t run don t s parti want s parti say want s parti love want kiss want screw want homegirl big butt shake like strip club rememb god judg forget hater caus somebodi love ya line bathroom tri line bathroom turn get turn yeah yeah la da da di like parti danc miley do want hous rule t stop won t stop t s night t s bout life t stop won t stop run thing thing don t run don t yeah yeah s parti want s parti say want s parti love want kiss want screw want s parti want s hous love want s song sing want s mouth say want yeah yeah yeah yeah eeh t stop won t stop run thing thing don t run don t yeah yeah yeah eeh yeah,happy
19,boy boomin ac coolin come club blazin got stack deck like savin ill real gotta deal pop bottl got right kind cold dope sell coke air fli coach muthafuckin trip trip sailor ship ship make drip drip kiss lip lip s kind dude lookin yes ll slap lookin hoe said excus hell guy mean like pelican fli mean shi m love tie like slicker guy thing eye oh yes did yes did somebodi tell eff nicki minaj mack dude coup chuck deuc boy got heartbeat runnin away beat like drum s come way t hear boom boom boom boom boom boom bass got super bass boom boom boom boom boom boom bass yeah s super bass boom boom boom boom boom boom boom boom boom oom boom boom boom boom bass got super bass boom boom boom boom bass yeah s super bass boy polo entrepeneur nigga mogul ball crew solo think like better dolo think like better fit cap ain t gotta tri mac just gotta look look panti comin uh excus hell guy know realli got thing american guy mean sigh sickenin eye tell touch feminin oh yes did yes did somebodi tell eff nicki minaj mack dude coup chuck deuc boy got heartbeat runnin away beat like drum s come way t hear boom badoom boom boom badoom boom bass got super bass boom badoom boom boom badoom boom bass yeah s super bass boom badoom boom badoom boom badoom boom badoom boom badoom boom boom badoom boom bass got super bass boom boom badoom boom bass yeah s super bass need life stay know ll stay don t away boy got heartbeat runnin away don t hear heartbeat comin way oh like boom badoom boom boom badoom boom bass t hear boom badoom boom boom badoom boom bass boy got heartbeat runnin away beat like drum s come way t hear boom badoom boom boom badoom boom bass got super bass boom badoom boom boom badoom boom bass yeah s super bass boom badoom boom badoom boom badoom boom badoom boom badoom boom boom badoom boom bass got super bass boom boom badoom boom bass yeah s super bass,happy
20,bring action hear club gotta turn shit gotta turn shit gotta turn shit club eye eye eye boy club watch watch watch everybodi club eye eye eye wanna scream shout let scream shout let say oh wee oh wee oh wee oh wee oh say oh wee oh wee oh wee oh wee oh wanna scream shout let scream shout let say oh wee oh wee oh wee oh wee oh rock britney bitch oh yeah bring action rock roll everybodi let s lose control let go fast aint go slow hear beat let s hit floor drink drink light let s let blow hey yo rock rock know talk bout turn burn hous hooous hey yo turn don t turn gon shake ground caus bring action hear club gotta turn shit gotta turn shit gotta turn shit club eye eye eye girl club look look look everybodi club eye eye eye wanna scream shout let scream shout let say oh wee oh wee oh wee oh wee oh say oh wee oh wee oh wee oh wee oh wanna scream shout let scream shout let say oh wee oh wee oh wee oh wee oh rock britney bitch oh yeah goe parti wish night forev caus feel im feel better mayb goe parti wish night forev wanna scream shout let scream shout let say oh wee oh wee oh wee oh wee oh say oh wee oh wee oh wee oh wee oh wanna scream shout let scream shout let say oh wee oh wee oh wee oh wee oh wanna scream shout let scream shout let say oh wee oh wee oh rock britney bitch,happy
